entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,PMID,relation,entity_side,entity_name_norm,expert_resolution
partial exon skipping,biological_process,False,exon-exon junction complex disassembly,C3894099,False,True,Alternative Splicing,C0002345,ok,10.1093/qjmed/hcaf246,bioprocess_protein,2,partial exon skipping,not_accepted
normalized neurodegenerative phenotype,phenotype,False,inherited neurodegenerative disorder,,False,True,Neuroprotection,C0598958,not found,10.1016/j.omtm.2022.03.011,drug_effect,2,normalized neurodegenerative phenotype,not_accepted
increased lyso-platelet activating factor,phenotype,False,Increased level of platelet-activating factor,C4073143,True,False,,,ok,10.1016/j.ymgme.2024.108615,phenotype_phenotype,2,increased lyso-platelet activating factor,expert_cui
reduced inflammatory cytokines,phenotype,False,negative regulation of cytokine production involved in inflammatory response,C3269276,True,False,,,ok,10.3390/life11101007,drug_effect,2,reduced inflammatory cytokines,expert_cui
protein translation readthrough of stop codons,biological_process,False,regulation of translational termination,C1157545,True,False,,,Stop Codon Readthrough Transcript,10.1038/s41586-025-09732-2,drug_bioprocess,2,protein translation readthrough of stop codons,expert_cui
elevated levels of proinflammatory cytokines,phenotype,False,Abnormality of serum cytokine level,C4023535,True,False,,,Elevated proinflammatory cytokine levels,10.1007/s12031-025-02395-8,disease_phenotype_positive,2,elevated levels of proinflammatory cytokines,expert_cui
decreased phosphatidylcholine,cellular_component,False,negative regulation of phosphatidylcholine catabolic process,C2612207,True,False,,,not found,10.3389/fmolb.2022.892248,cellcomp_protein,2,decreased phosphatidylcholine,expert_cui
perifoveal whitening,phenotype,False,Abnormality of foveal pigmentation,C4072981,True,False,,,not found,10.1016/j.ajoc.2025.102381,phenotype_anatomy,2,perifoveal whitening,expert_cui
reduced lysosomal mass,phenotype,False,lysosomal matrix,C4235311,False,True,Abnormal lysosomal morphology,C4531183,not found,10.3390/pharmaceutics17050628,drug_effect,2,reduced lysosomal mass,not_accepted
hippocampus,anatomy,False,hippocampal field,C1134421,True,False,,,ok,10.3389/fmolb.2022.892248,anatomy_protein_present,1,hippocampus,expert_cui
