entity_name,entity_type,algo_accepted,algo_suggested_name,algo_cui,expert_accepted,expert_rejected,expert_suggested_name,expert_cui,note,entity_name_norm,expert_resolution
11β-hydroxysteroid-dehydrogenase of type 2,protein/gene,False,,C0608861,True,False,,,,11β-hydroxysteroid-dehydrogenase of type 2,expert_cui
11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,biological_process?? (UMLS: molecular function),False,,C5878973,True,False,,,,11β-hydroxysteroid-dehydrogenase of type 2 inhibitor,expert_cui
2-hydroxypropyl-ß-cyclodextrin,drug,False,,C0046237,True,False,,,,2-hydroxypropyl-ß-cyclodextrin,expert_cui
2-hydroxypropyl-γ-cyclodextrin,drug,False,,C4522177,True,False,,,,2-hydroxypropyl-γ-cyclodextrin,expert_cui
"3β,5α,6β-trihydroxycholanoyl-glycine",phenotype???,False,,,True,False,,,,"3β,5α,6β-trihydroxycholanoyl-glycine",expert_accept_unresolved
4-sulfobutylether-β-cyclodextrin,drug,False,,C0296727,True,False,,,,4-sulfobutylether-β-cyclodextrin,expert_cui
aberrant pattern of interferon activation,phenotype,False,,,True,False,,,,aberrant pattern of interferon activation,expert_accept_unresolved
abnormal cholesterol accumulation,phenotype,False,,C3553603,True,False,,,,abnormal cholesterol accumulation,expert_cui
absence of serious adverse events,phenotype,False,,,True,False,,,,absence of serious adverse events,expert_accept_unresolved
accumulate multiple bis(monoacylglycero)phosphate species,phenotype,False,,,True,False,,,,accumulate multiple bis(monoacylglycero)phosphate species,expert_accept_unresolved
accumulating of cholesterol crystals in the lysosome,phenotype,False,,C5436605,True,False,,,,accumulating of cholesterol crystals in the lysosome,expert_cui
accumulation of cholesterol and other lipids,phenotype,True,Unesterified cholesterol accumulation in cultured fibroblasts,C3553603|C5937001,True,False,,,,accumulation of cholesterol and other lipids,expert_cui
accumulation of cholesterol in late endosome,phenotype,False,,,False,True,Intracellular accumulation of unesterified cholesterol,C3553603,,accumulation of cholesterol in late endosome,not_accepted
accumulation of cholesterol in lysosome,phenotype,False,,,False,True,Intracellular accumulation of unesterified cholesterol,C3553603,,accumulation of cholesterol in lysosome,not_accepted
